model_a,model_b,n,dm_stat_pooled,dm_p_pooled,gw_regime_stat,gw_regime_df,gw_regime_p,gw_lagdiff_stat,gw_lagdiff_df,gw_lagdiff_p,moment_calm,moment_transitional,moment_crisis,a_relative_edge_in,a_wins_in
Regime-LSTM-A,LSTM,784,-0.4432425642824145,0.6577127326253616,2.500267314020784,3,0.4752427756506612,7.161796966783776,2,0.027850663651599335,-0.0011240842576561967,0.0010422490950214949,-0.001727836346284272,crisis,"calm, crisis"
Regime-LSTM-B,LSTM,784,-0.6074530432891847,0.5437264171588343,4.415385211707048,3,0.21996305370747885,2.4972727108770796,2,0.286895754071015,-0.0007473081544935283,-0.002940108323918141,0.0007841919606701419,transitional,"calm, transitional"
Regime-LSTM-A,HAR-RV,784,-0.735490994865784,0.46226076877998873,22.883780141699685,3,4.269930689111678e-05,7.484436666932992,2,0.02370146701317863,0.007528317203561277,-0.017672447785988935,-0.0011364770529707253,transitional,"transitional, crisis"
Regime-LSTM-B,HAR-RV,784,-0.741054758787855,0.458882419945561,40.132075862558736,3,9.98986764775426e-09,4.488408723781352,2,0.1060118538985725,0.007905093306723955,-0.021654805204928573,0.0013755512539836868,transitional,transitional
Regime-LSTM-A-RVonly,LSTM-RVonly,784,0.48295318309055446,0.6292639801744296,6.000212197806022,3,0.11159990166665822,0.9676753998342594,2,0.6164132377137239,0.004379375727383,-0.0009876316501318731,-0.001283844978160234,crisis,"transitional, crisis"
