method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.733002539031295,,0.08309521750757294,784,,0.04999999999999999,PICP 0.9367 (n=332) vs 0.9049 (n=452); z_iid=-1.611 p_iid=0.1072,0.4154760875378647,7,True
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.6991155866595886,,0.48447979846659495,784,,0.04999999999999999,PICP 0.9437 (n=71) vs 0.9158 (n=713); z_iid=-0.816 p_iid=0.4143,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5509934208754576,,0.5816381846308374,784,,0.04999999999999999,PICP 0.8983 (n=59) vs 0.9200 (n=725); z_iid=0.585 p_iid=0.5584,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,regime,t-1 (implementable),12.325077804610988,2.0,0.0021068972690921283,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=28.590 (df 7, p=0.0001718) vs DQ_level+dynamics=16.265 (df 5, p=0.006127)",0.014748280883644898,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,transition,t-1 (implementable),0.45190774287291546,1.0,0.5014303872580959,780,transition_exante(t-1),0.050000000000000044,"DQ_full=16.717 (df 6, p=0.01038) vs DQ_level+dynamics=16.265 (df 5, p=0.006127)",0.7408452831741508,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,width,t-1 (implementable),4.572272549589734,1.0,0.03249343320058652,780,log_interval_width,0.050000000000000044,"DQ_full=20.837 (df 6, p=0.001962) vs DQ_level+dynamics=16.265 (df 5, p=0.006127)",0.1299737328023461,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),3.057780359227589,,0.0022298294745143705,784,,0.050000000000000044,PICP 0.8950 (n=381) vs 0.9504 (n=403); z_iid=2.914 p_iid=0.003566,0.014748280883644898,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.4630179237898093,,0.013777302830368541,784,,0.050000000000000044,PICP 0.9488 (n=332) vs 0.9049 (n=452); z_iid=-2.286 p_iid=0.02225,0.0688865141518427,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-1.157793227722958,,0.24694842772471692,784,,0.050000000000000044,PICP 0.9577 (n=71) vs 0.9201 (n=713); z_iid=-1.139 p_iid=0.2546,0.7408452831741508,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-1.0278566737651151,,0.30401725254485257,784,,0.050000000000000044,PICP 0.9492 (n=59) vs 0.9214 (n=725); z_iid=-0.772 p_iid=0.4403,0.7408452831741508,7,True
