jump_penalty,n_jumps,mean_duration,objective,bic
1.0,1196,3.335839598997494,4131.914050576818,5921.581889795989
3.0,76,51.857142857142854,4690.775018673193,8975.303825988776
10.0,10,363.0,4861.748784636802,9573.251357915991
30.0,6,570.4285714285714,5030.908589753664,9751.570968149723
100.0,3,998.25,5396.254292139175,10242.262372920723
300.0,0,3993.0,5665.8215630862605,11381.396914814895
