regime_shift,timing,regime,n,HAR-RV,LSTM,LSTM-RVonly,Regime-LSTM-A,Regime-LSTM-A-RVonly,Regime-LSTM-B
0,contemporaneous (ex-post description),calm,379,0.27568095966124784,0.2499949368428211,0.24446047868928744,0.24820841642342503,0.244884390452849,0.24676897853456753
0,contemporaneous (ex-post description),transitional,330,0.24349399002078742,0.22302859401867095,0.23491618450798923,0.22880385804255618,0.24331093961710054,0.21660686401040724
0,contemporaneous (ex-post description),crisis,75,0.4048496558728017,0.5256945812824333,0.4451366346680182,0.49039420325678673,0.4280921166585609,0.5399036623443768
0,contemporaneous (ex-post description),all,784,0.27448957220527154,0.2650186360787922,0.25964044631502264,0.26320896456987325,0.2617483454141135,0.26211541156105067
