jump_penalty,n_jumps,mean_duration,objective,bic
1.0,1855,2.9967672413793105,5754.259026658293,7850.260331525369
3.0,99,55.62,6649.303083770597,12756.348445749998
10.0,24,222.48,6950.620037457363,13472.982353123469
30.0,10,505.6363636363636,7211.991055920275,13875.72439004932
100.0,4,1112.4,7695.4882030520375,14642.718684312864
300.0,0,5562.0,7892.136121684412,15836.014521577543
