model_a,model_b,dm_stat,p_value,mean_loss_diff,better,n
MC-Dropout-Regime-LSTM-B,MC-Dropout-LSTM,-1.7338924603687682,0.0833307757432779,-0.005378579087850817,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,Regime-LSTM-B,-1.0192192695682745,0.30841368972837635,-0.0022613363270911793,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,HAR-RV,-0.9104592074798293,0.3628605714609581,-0.014635496971312056,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,LSTM,-1.6688027492982747,0.09555624252683691,-0.005164560844832708,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-LSTM,LSTM,1.3159376928412578,0.18858008746912017,0.00021401824301810966,LSTM,784
