jump_penalty,train_jumps,train_mean_duration_days,clears_persistence_floor,test_switches,agreement_with_headline_test,agreement_with_headline_train,is_headline
0.5,2195,1.825591985428051,False,460,0.4238993710691824,0.4070840608630581,False
1.0,1194,3.3548117154811714,False,207,0.5534591194968553,0.5101022698927413,False
1.5,237,16.84453781512605,True,92,0.8465408805031447,0.8426041406834622,False
2.0,124,32.072,True,77,0.9132075471698113,0.9139436268396108,False
2.5,86,46.08045977011494,True,56,0.9559748427672956,0.9456223497131454,False
3.0,58,67.94915254237289,True,62,1.0,1.0,True
5.0,36,108.35135135135135,True,43,0.939622641509434,0.9558493389872786,False
10.0,19,200.45,True,33,0.9056603773584906,0.9301571464205538,False
30.0,6,572.7142857142857,True,28,0.8377358490566038,0.8388625592417062,False
100.0,3,1002.25,True,12,0.6716981132075471,0.6517834871539037,False
300.0,0,4009.0,True,0,0.4729559748427673,0.4262908455974058,False
