method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.370546211988523,,0.01776182337789138,784,,0.04999999999999999,PICP 0.8918 (n=379) vs 0.9383 (n=405); z_iid=2.341 p_iid=0.01924,0.0888091168894569,7,True
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.6423239259203144,,0.008233926487683455,784,,0.04999999999999999,PICP 0.9453 (n=329) vs 0.8945 (n=455); z_iid=-2.527 p_iid=0.0115,0.04940355892610073,7,True
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.17901644321187427,,0.8579247904384318,784,,0.04999999999999999,PICP 0.9079 (n=76) vs 0.9167 (n=708); z_iid=0.262 p_iid=0.7935,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3255116845918897,,0.744793840714461,784,,0.04999999999999999,PICP 0.9038 (n=52) vs 0.9167 (n=732); z_iid=0.322 p_iid=0.7477,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,regime,t-1 (implementable),16.06281436697846,2.0,0.00032509042502440705,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=32.116 (df 7, p=3.865e-05) vs DQ_level+dynamics=16.053 (df 5, p=0.006693)",0.002275632975170849,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,transition,t-1 (implementable),0.9424273892272375,1.0,0.3316543601390718,780,transition_exante(t-1),0.050000000000000044,"DQ_full=16.996 (df 6, p=0.009298) vs DQ_level+dynamics=16.053 (df 5, p=0.006693)",0.9949630804172154,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,DQ incremental,width,t-1 (implementable),4.045235499886537,1.0,0.04429619785808635,780,log_interval_width,0.050000000000000044,"DQ_full=20.099 (df 6, p=0.00266) vs DQ_level+dynamics=16.053 (df 5, p=0.006693)",0.1771847914323454,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),3.2552059978143633,,0.001133101460100651,784,,0.050000000000000044,PICP 0.8918 (n=379) vs 0.9531 (n=405); z_iid=3.225 p_iid=0.001261,0.006798608760603906,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.2352128772849436,,0.0012155206880974589,784,,0.050000000000000044,PICP 0.9574 (n=329) vs 0.8989 (n=455); z_iid=-3.043 p_iid=0.002342,0.006798608760603906,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.3152882512103917,,0.7525428046247478,784,,0.050000000000000044,PICP 0.9342 (n=76) vs 0.9223 (n=708); z_iid=-0.371 p_iid=0.7109,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5181456622066387,,0.6043566433512833,784,,0.050000000000000044,PICP 0.9038 (n=52) vs 0.9249 (n=732); z_iid=0.551 p_iid=0.5817,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,regime,t-1 (implementable),20.046046469619267,2.0,4.4366617260936275e-05,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=50.568 (df 7, p=1.117e-08) vs DQ_level+dynamics=30.522 (df 5, p=1.164e-05)",0.00031056632082655393,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,transition,t-1 (implementable),0.09275151771358736,1.0,0.7607078866052046,780,transition_exante(t-1),0.025000000000000022,"DQ_full=30.614 (df 6, p=3.003e-05) vs DQ_level+dynamics=30.522 (df 5, p=1.164e-05)",1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,width,t-1 (implementable),3.6247966792806103,1.0,0.05692452724482829,780,log_interval_width,0.025000000000000022,"DQ_full=34.146 (df 6, p=6.303e-06) vs DQ_level+dynamics=30.522 (df 5, p=1.164e-05)",0.22769810897931317,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.7186454928609476,,0.006554982041274861,784,,0.025000000000000022,PICP 0.9235 (n=379) vs 0.9679 (n=405); z_iid=2.760 p_iid=0.005777,0.032774910206374304,7,True
