method,nominal,n,picp,mpiw,winkler,coverage_error
Quantile-LSTM,0.8999999999999999,784,0.8214285714285714,0.0001598230961907719,0.00043174490862666937,-0.07857142857142851
LSTM-Gaussian,0.9,784,0.8635204081632653,0.00018014559729342096,0.0004197711854459773,-0.03647959183673477
MC-Dropout-LSTM,0.9,784,0.8647959183673469,0.00018178492611470271,0.0004199250880381513,-0.035204081632653095
LSTM-Gaussian,0.95,784,0.9196428571428571,0.0002286939055843637,0.0005659756611208095,-0.03035714285714286
MC-Dropout-LSTM,0.95,784,0.9196428571428571,0.00023097860547637575,0.0005634331134207741,-0.03035714285714286
