K,hmm_loglik,hmm_bic,hmm_aic,hmm_params,jump_loglik,jump_bic,jump_params,jump_n_jumps
2,-6977.7825530005875,14015.888175559308,13969.565106001175,7,-7047.149079496035,14128.76848445386,4,7
3,-6819.743368642824,13760.132876401913,13667.486737285648,14,-6890.4390613875385,13832.583610967762,6,8
4,-6794.990950038476,13788.186271482244,13635.981900076951,23,-6879.736808107557,13828.414267138694,8,8
