,avg_loss,mcs_pvalue,in_mcs,rank
Regime-LSTM-B,0.25831322489916536,1.0,True,1
LSTM-RVonly,0.25964044631502264,0.907,True,2
Regime-LSTM-A-RVonly,0.2616548446022459,0.8605,True,3
Regime-LSTM-A,0.26265547977966025,0.837,True,4
LSTM,0.2650186360787922,0.1095,True,5
HAR-RV,0.2744895722052716,0.291,True,6
GARCH,0.33017142553278583,0.0005,False,7
EGARCH,0.33275064053098585,0.0005,False,8
RW-RV,0.3584319726638106,0.0,False,9
