K,hmm_loglik,hmm_bic,hmm_aic,hmm_params,jump_loglik,jump_bic,jump_params,jump_n_jumps
2,-6623.307183694192,13306.939969049998,13260.614367388383,7,-6835.639095233712,13705.74996284549,4,9
3,-6349.759284960086,12820.169773243402,12727.518569920172,14,-6592.854859392489,13237.417377352076,6,11
4,-6313.392252405417,12824.99719598471,12672.784504810834,23,-6552.8105484494145,13174.56464165496,8,11
