model,n,mse,rmse,mae,qlike
Regime-LSTM-B,784,4.048665896723149e-08,0.00020121296918248458,5.334308669349087e-05,0.25831322489916536
LSTM-RVonly,784,4.020964479151205e-08,0.00020052342703911694,6.0579605066443574e-05,0.25964044631502264
Regime-LSTM-A-RVonly,784,4.2001503956417e-08,0.0002049426845642874,6.506646477296961e-05,0.2616548446022459
Regime-LSTM-A,784,4.03520044469641e-08,0.00020087808354064934,5.813253749280834e-05,0.26265547977966025
LSTM,784,4.484934814224016e-08,0.00021177664682924828,5.862772884378922e-05,0.2650186360787922
HAR-RV,784,4.1763299445373875e-08,0.0002043607091526497,6.046388729685261e-05,0.2744895722052716
GARCH,784,5.6251003065953535e-08,0.00023717293915190564,7.171748128341523e-05,0.33017142553278583
EGARCH,784,5.665607030845292e-08,0.00023802535644013416,6.901579848824777e-05,0.33275064053098585
RW-RV,784,5.283828597571581e-08,0.0002298657999262087,6.578935497975982e-05,0.3584319726638106
