K,hmm_loglik,hmm_bic,hmm_aic,hmm_params,jump_loglik,jump_bic,jump_params,jump_n_jumps
2,-6883.283217512395,13826.932426268348,13780.56643502479,7,-7119.593859004894,14273.682570148963,4,7
3,-6709.9902951041995,13540.712572695518,13447.980590208403,14,-6911.991055920278,13875.72439004932,6,10
4,-6658.025345841884,13514.396091484028,13362.050691683768,23,-6891.614344578877,13852.218393436104,8,10
