method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
LSTM-Gaussian,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.24047155107050397,,0.8099647152433016,784,,0.050000000000000044,PICP 0.9296 (n=71) vs 0.9187 (n=713); z_iid=-0.323 p_iid=0.7468,1.0,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.10029676654915855,,0.9201087244699532,784,,0.050000000000000044,PICP 0.9153 (n=59) vs 0.9200 (n=725); z_iid=0.129 p_iid=0.8974,1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,regime,t-1 (implementable),13.439068681874929,2.0,0.001207100180243857,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=60.526 (df 7, p=1.185e-10) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.008449701261706999,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,transition,t-1 (implementable),0.04752982140189488,1.0,0.8274187086911279,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.134 (df 6, p=1.759e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,width,t-1 (implementable),2.646826279388705,1.0,0.103756858067589,780,log_interval_width,0.025000000000000022,"DQ_full=49.734 (df 6, p=5.316e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.415027432270356,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.9858267115643657,,0.04705256869844319,784,,0.025000000000000022,PICP 0.9265 (n=381) vs 0.9628 (n=403); z_iid=2.229 p_iid=0.02579,0.23526284349221593,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.7527320929289867,,0.005910023812113456,784,,0.025000000000000022,PICP 0.9699 (n=332) vs 0.9270 (n=452); z_iid=-2.606 p_iid=0.009158,0.03546014287268073,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.3822066312986812,,0.7023081035021788,784,,0.025000000000000022,PICP 0.9296 (n=71) vs 0.9467 (n=713); z_iid=0.604 p_iid=0.5455,1.0,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3087120040002349,,0.7575406116977446,784,,0.025000000000000022,PICP 0.9322 (n=59) vs 0.9462 (n=725); z_iid=0.454 p_iid=0.6496,1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),2.4557391642225284,2.0,0.2929159467996837,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=16.710 (df 7, p=0.01937) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),0.23687160718504607,1.0,0.6264747918587205,780,transition_exante(t-1),0.09999999999999998,"DQ_full=14.491 (df 6, p=0.02461) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.17665620082243016,1.0,0.6742627378576846,780,log_interval_width,0.09999999999999998,"DQ_full=14.431 (df 6, p=0.02518) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.3312673167037494,,0.183101068329249,784,,0.09999999999999998,PICP 0.8478 (n=381) vs 0.8809 (n=403); z_iid=1.356 p_iid=0.1752,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.0170774739564854,,0.3091165753225643,784,,0.09999999999999998,PICP 0.8795 (n=332) vs 0.8540 (n=452); z_iid=-1.033 p_iid=0.3015,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.5854218944082166,,0.5582640705371746,784,,0.09999999999999998,PICP 0.8873 (n=71) vs 0.8626 (n=713); z_iid=-0.582 p_iid=0.5605,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3389152685068087,,0.7346735618586803,784,,0.09999999999999998,PICP 0.8475 (n=59) vs 0.8662 (n=725); z_iid=0.405 p_iid=0.6855,1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),7.775925882494498,2.0,0.020487036857945454,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=38.091 (df 7, p=2.912e-06) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.12292222114767273,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),0.34606239161665187,1.0,0.5563506231272431,780,transition_exante(t-1),0.04999999999999999,"DQ_full=30.661 (df 6, p=2.942e-05) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,width,t-1 (implementable),4.51292196903497,1.0,0.033639726427870824,780,log_interval_width,0.04999999999999999,"DQ_full=34.828 (df 6, p=4.654e-06) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.1345589057114833,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.2890399401552943,,0.022077031881368052,784,,0.04999999999999999,PICP 0.9003 (n=381) vs 0.9429 (n=403); z_iid=2.229 p_iid=0.02581,0.12292222114767273,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.377177127898253,,0.017445708481039737,784,,0.04999999999999999,PICP 0.9458 (n=332) vs 0.9049 (n=452); z_iid=-2.113 p_iid=0.03458,0.12211995936727815,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.18018180017065832,,0.8570098459529809,784,,0.04999999999999999,PICP 0.9296 (n=71) vs 0.9215 (n=713); z_iid=-0.244 p_iid=0.8076,1.0,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5369665756673802,,0.5912907021524167,784,,0.04999999999999999,PICP 0.8983 (n=59) vs 0.9241 (n=725); z_iid=0.712 p_iid=0.4763,1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,regime,t-1 (implementable),5.820602179962588,2.0,0.05445933024170823,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=30.651 (df 7, p=7.21e-05) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.3812153116919576,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,transition,t-1 (implementable),0.06327753955859805,1.0,0.8013886995678778,780,transition_exante(t-1),0.050000000000000044,"DQ_full=24.893 (df 6, p=0.0003573) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,width,t-1 (implementable),0.9365408512761384,1.0,0.333169036790592,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.0002461) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.7681662703235705,,0.07703311120445662,784,,0.050000000000000044,PICP 0.9003 (n=381) vs 0.9380 (n=403); z_iid=1.941 p_iid=0.05227,0.46219866722673975,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.7202701353004248,,0.08538334942628664,784,,0.050000000000000044,PICP 0.9398 (n=332) vs 0.9049 (n=452); z_iid=-1.776 p_iid=0.07577,0.46219866722673975,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.24047155107050397,,0.8099647152433016,784,,0.050000000000000044,PICP 0.9296 (n=71) vs 0.9187 (n=713); z_iid=-0.323 p_iid=0.7468,1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.10029676654915855,,0.9201087244699532,784,,0.050000000000000044,PICP 0.9153 (n=59) vs 0.9200 (n=725); z_iid=0.129 p_iid=0.8974,1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,regime,t-1 (implementable),13.439068681874929,2.0,0.001207100180243857,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=60.526 (df 7, p=1.185e-10) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.008449701261706999,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,transition,t-1 (implementable),0.04752982140189488,1.0,0.8274187086911279,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.134 (df 6, p=1.759e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,width,t-1 (implementable),2.6302079776380296,1.0,0.10484797869851711,780,log_interval_width,0.025000000000000022,"DQ_full=49.717 (df 6, p=5.357e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.41939191479406845,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.9858267115643657,,0.04705256869844319,784,,0.025000000000000022,PICP 0.9265 (n=381) vs 0.9628 (n=403); z_iid=2.229 p_iid=0.02579,0.23526284349221593,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.7527320929289867,,0.005910023812113456,784,,0.025000000000000022,PICP 0.9699 (n=332) vs 0.9270 (n=452); z_iid=-2.606 p_iid=0.009158,0.03546014287268073,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.3822066312986812,,0.7023081035021788,784,,0.025000000000000022,PICP 0.9296 (n=71) vs 0.9467 (n=713); z_iid=0.604 p_iid=0.5455,1.0,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3087120040002349,,0.7575406116977446,784,,0.025000000000000022,PICP 0.9322 (n=59) vs 0.9462 (n=725); z_iid=0.454 p_iid=0.6496,1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),0.837568590742606,2.0,0.6578460804091404,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=58.999 (df 7, p=2.391e-10) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),1.8776685752900946,1.0,0.17059936611402826,780,transition_exante(t-1),0.09999999999999998,"DQ_full=60.039 (df 6, p=4.419e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.19709318871810666,1.0,0.6570774421969132,780,log_interval_width,0.09999999999999998,"DQ_full=58.359 (df 6, p=9.693e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),0.7058259226823784,,0.48029639917351197,784,,0.09999999999999998,PICP 0.8110 (n=381) vs 0.8313 (n=403); z_iid=0.740 p_iid=0.4595,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-0.41886380364607784,,0.6753156718269231,784,,0.09999999999999998,PICP 0.8283 (n=332) vs 0.8164 (n=452); z_iid=-0.431 p_iid=0.6662,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.5355818228362306,,0.5922475941438579,784,,0.09999999999999998,PICP 0.8451 (n=71) vs 0.8191 (n=713); z_iid=-0.545 p_iid=0.5855,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.7437724297321512,,0.4570141622926813,784,,0.09999999999999998,PICP 0.7797 (n=59) vs 0.8248 (n=725); z_iid=0.871 p_iid=0.3837,1.0,7,True
Quantile-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),9.23423077745528,2.0,0.009881258579684122,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=89.204 (df 7, p=1.803e-16) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.06916881005778885,7,True
Quantile-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),1.320129714246221,1.0,0.25056877236395925,780,transition_exante(t-1),0.04999999999999999,"DQ_full=81.290 (df 6, p=1.934e-15) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.7517063170918777,7,True
Quantile-LSTM,0.9,upper,DQ incremental,width,t-1 (implementable),2.2267926647254512,1.0,0.1356351467062436,780,log_interval_width,0.04999999999999999,"DQ_full=82.196 (df 6, p=1.256e-15) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.5425405868249744,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.0433184535972657,,0.04102092400158639,784,,0.04999999999999999,PICP 0.8714 (n=381) vs 0.9181 (n=403); z_iid=2.137 p_iid=0.03263,0.24612554400951836,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.635082121159977,,0.1020318335927968,784,,0.04999999999999999,PICP 0.9157 (n=332) vs 0.8805 (n=452); z_iid=-1.588 p_iid=0.1122,0.510159167963984,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.8270803161849065,,0.408191540101698,784,,0.04999999999999999,PICP 0.9296 (n=71) vs 0.8920 (n=713); z_iid=-0.987 p_iid=0.3239,0.816383080203396,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.6715895770952127,,0.5018450155144887,784,,0.04999999999999999,PICP 0.8644 (n=59) vs 0.8979 (n=725); z_iid=0.809 p_iid=0.4184,0.816383080203396,7,True
