deep_model,benchmark,alpha,reference_asset,asset,verdict,sign_agrees,pooled_agrees,conditional_agrees,detail,ref_deep_ahead,ref_dm_sig,ref_gw_sig,deep_ahead,dm_sig,gw_sig,qlike_deep,qlike_benchmark,dm_p,gw_p,n,ref_qlike_deep,ref_qlike_benchmark,ref_dm_p,ref_gw_p
Regime-LSTM-B,HAR-RV,0.05,SPX,RUT,replicates,True,True,True,"all three agree with the reference: the same direction, the same pooled verdict and the same conditional verdict",True,False,True,True,False,True,0.21432477666769256,0.22603300455772476,0.15273794259442378,0.008694431089947146,788,0.26211541156105067,0.2744895722052716,0.458882419945561,9.98986764775426e-09
Regime-LSTM-B,HAR-RV,0.05,SPX,FTSE,direction only,True,True,False,"the deep model is on the same side of the benchmark, but the conditional test disagrees with the reference -- the state-dependence the S&P result rests on does not reproduce",True,False,True,True,False,False,0.29045023308314516,0.29973290547313103,0.6053080851140932,0.25389286777474107,795,0.26211541156105067,0.2744895722052716,0.458882419945561,9.98986764775426e-09
