regime_shift,timing,regime,n,HAR-RV,LSTM,LSTM-RVonly,Regime-LSTM-A,Regime-LSTM-A-RVonly,Regime-LSTM-B
0,contemporaneous (ex-post description),calm,381,0.2745517611095261,0.2519034857804366,0.2465079886296339,0.24966420142536075,0.24615714711078915,0.24839999383186046
0,contemporaneous (ex-post description),transitional,333,0.26379631207541543,0.26771842220817604,0.2621289475848857,0.27016492051042373,0.26833822879809177,0.2583809896594827
0,contemporaneous (ex-post description),crisis,70,0.3250204529298594,0.3235592572586304,0.31928038139028975,0.2976416696317156,0.3142127847026512,0.3119471587771298
0,contemporaneous (ex-post description),all,784,0.2744895722052716,0.2650186360787922,0.25964044631502264,0.26265547977966025,0.2616548446022459,0.25831322489916536
