model,n,mse,rmse,mae,qlike
HAR-RV,795,4.0838426559682494e-10,2.020851962902837e-05,6.764995169620986e-06,0.003809340451071801
RW-RV,795,7.785915169733044e-10,2.7903252802734388e-05,8.660899470378039e-06,0.004717715295563835
GARCH,795,2.3624652592171523e-08,0.00015370313136748882,5.045385361973456e-05,0.09422176463751687
EGARCH,795,3.90235255743085e-08,0.00019754373078968742,6.0087037369387284e-05,0.1308463194712228
