model,n,mse,rmse,mae,qlike
EGARCH,795,7.111718545430742e-08,0.00026667805581694835,7.719281760522071e-05,0.29597405299279317
HAR-RV,795,7.465884202276828e-08,0.00027323770241818434,7.832015039281643e-05,0.29973290547313103
GARCH,795,8.158773449917522e-08,0.00028563566741423457,9.082685919726421e-05,0.3344244722219696
RW-RV,795,1.1662893241059779e-07,0.0003415097837699497,8.89061522409282e-05,0.5561843947564739
