,avg_loss,mcs_pvalue,in_mcs,rank
LSTM-RVonly,0.25964044631502264,1.0,True,1
Regime-LSTM-A-RVonly,0.2617483454141135,0.9445,True,2
Regime-LSTM-B,0.26211541156105067,0.9445,True,3
Regime-LSTM-A,0.26320896456987325,0.9445,True,4
LSTM,0.2650186360787922,0.9205,True,5
HAR-RV,0.2744895722052716,0.321,True,6
GARCH,0.33017142553278583,0.0005,False,7
EGARCH,0.33275064053098585,0.0005,False,8
RW-RV,0.3584319726638106,0.0,False,9
