pair,n,dm_stat_default,dm_p_default,default_hac_lag,lrv_over_gamma0,max_abs_acf,n_acf_sig_bartlett,lb20_stat,lb20_p,dm_p_min_over_lags,dm_p_max_over_lags,verdict_stable_across_lags
LSTM vs HAR-RV,784,-0.5947518944590786,0.5521811503695133,9,1.1914170875493164,0.09437566312662962,1,18.490892604921708,0.5551048686901026,0.5164098821645182,0.5605701132418083,True
LSTM-RVonly vs HAR-RV,784,-1.7450346455953005,0.0813711400026025,9,1.4589192585195618,0.19625385758902866,1,49.90055110180429,0.00022885281170443228,0.035369670267048126,0.0813711400026025,False
Regime-LSTM-A vs LSTM,784,-0.4432425642824145,0.6577127326253616,9,2.3469019855743376,0.20213678193329024,9,202.98407529707475,2.8878472353919864e-32,0.49731953848876825,0.702559213182843,True
Regime-LSTM-B vs LSTM,784,-0.6074530432891847,0.5437264171588343,9,0.8601271110275194,0.14384862330173295,2,38.00126426840517,0.008852434938755042,0.48942986038719494,0.5783296706689801,True
Regime-LSTM-B vs HAR-RV,784,-0.741054758787855,0.458882419945561,9,1.0715999202356612,0.0882814351599176,1,19.651076766879445,0.479937942154954,0.4432379158609046,0.4735557403689624,True
