method,nominal,n,picp,mpiw,winkler,coverage_error
Quantile-LSTM,0.8999999999999999,784,0.8214285714285714,0.00015982310489303527,0.0004317449249621919,-0.07857142857142851
LSTM-Gaussian,0.9,784,0.8635204081632653,0.00018014559745913475,0.0004197712177206501,-0.03647959183673477
MC-Dropout-LSTM,0.9,784,0.8647959183673469,0.0001817849247514657,0.00041992509261372943,-0.035204081632653095
LSTM-Gaussian,0.95,784,0.9196428571428571,0.0002286939057947365,0.0005659757386201123,-0.03035714285714286
MC-Dropout-LSTM,0.95,784,0.9196428571428571,0.0002309786037318543,0.0005634331287066297,-0.03035714285714286
