regime_shift,timing,model_a,model_b,regime,n,qlike_a,qlike_b,mean_loss_diff,dm_stat,p_value,better
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,calm,379,0.3163891716490153,0.3187144541239558,-0.0023252824749405154,-1.011866125775356,0.31224932009283335,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,transitional,329,0.19454890902329347,0.1920652516053699,0.002483657417923557,0.7654624512521878,0.4445466597963893,LSTM
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,LSTM,crisis,76,0.2952334355150034,0.31305743150825166,-0.017823995993248243,-0.6135515092500945,0.5413681427946966,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,calm,379,0.3171685712924969,0.3187144541239558,-0.0015458828314589002,-0.6570709569057918,0.5115351500567663,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,transitional,329,0.18505903602496926,0.1920652516053699,-0.007006215580400654,-1.8619088905170487,0.06351009469501068,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,LSTM,crisis,76,0.3211469906814805,0.31305743150825166,0.008089559173228844,0.17011398883159487,0.8653785427450226,LSTM
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,calm,379,0.3163891716490153,0.3008160827635482,0.015573088885467101,0.5311553229152587,0.5956231064846158,HAR-RV
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,transitional,329,0.19454890902329347,0.2366619760877777,-0.04211306706448423,-4.406149048389115,1.426986707975762e-05,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-A,HAR-RV,crisis,76,0.2952334355150034,0.30695709353512246,-0.011723658020119043,-0.27565612198193845,0.7835702785544146,Regime-LSTM-A
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,calm,379,0.3171685712924969,0.3008160827635482,0.016352488528948717,0.523067024795515,0.601234079778904,HAR-RV
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,transitional,329,0.18505903602496926,0.2366619760877777,-0.05160294006280844,-6.035029783483645,4.294324013652069e-09,Regime-LSTM-B
1,lagged t-1 (conditional / implementable),Regime-LSTM-B,HAR-RV,crisis,76,0.3211469906814805,0.30695709353512246,0.014189897146358044,0.21943683889422538,0.8269058974176863,HAR-RV
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,calm,379,0.2919501421963291,0.28289095863361596,0.009059183562713125,2.293116087297311,0.022389663887780957,LSTM-RVonly
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,transitional,329,0.2158242790512097,0.21817778426003456,-0.002353505208824852,-0.5687726677487843,0.5698996523156308,Regime-LSTM-A-RVonly
1,lagged t-1 (conditional / implementable),Regime-LSTM-A-RVonly,LSTM-RVonly,crisis,76,0.3099396197948461,0.32318349430639365,-0.013243874511547571,-0.3944183350444815,0.6943915355893906,Regime-LSTM-A-RVonly
