regime_shift,timing,regime,n,picp,mpiw,winkler,coverage_error
1,lagged t-1 (conditional / implementable),calm,381,0.847769028871391,4.917071609605127e-05,0.00013709436705238364,-0.05223097112860897
1,lagged t-1 (conditional / implementable),transitional,332,0.8795180722891566,0.00017007390514058962,0.00025586050499930367,-0.02048192771084345
1,lagged t-1 (conditional / implementable),crisis,71,0.8873239436619719,0.0009481803051532088,0.0027048257901751676,-0.012676056338028152
1,lagged t-1 (conditional / implementable),all,784,0.8647959183673469,0.0001817849247514657,0.00041992509261372943,-0.035204081632653095
