regime_shift,timing,regime,n,mpiw,mean_log_width,mean_sigma_log,epistemic_share,mean_gate_entropy,upper_violation_rate,lower_violation_rate,expected_one_sided_rate
1,lagged t-1 (conditional / implementable),calm,381,5.0338098012991025e-05,1.9636844875892314,0.5969176999745174,0.004525401036712759,0.31397594401102924,0.10236220472440945,0.06036745406824147,0.04999999999999999
1,lagged t-1 (conditional / implementable),transitional,332,0.00015829940249800323,1.9607391431541255,0.5960223788386894,0.0015300464557309358,0.443337986108054,0.06325301204819277,0.0572289156626506,0.04999999999999999
1,lagged t-1 (conditional / implementable),crisis,71,0.000982104237029741,1.9740658418406016,0.6000734075953257,0.015029215887503214,0.29245694825547486,0.07042253521126761,0.014084507042253521,0.04999999999999999
1,lagged t-1 (conditional / implementable),all,784,0.00018043828801198757,1.9633773725374357,0.5968243436275563,0.004222055333862392,0.3668080221711923,0.08290816326530612,0.0548469387755102,0.04999999999999999
