signal,lambda,n_test,test_switches,test_mean_duration_days,mean_max_posterior_test,mean_abs_smoothed_minus_filtered_test,test_days_state0,test_days_state1,test_days_state2,agreement_with_other_signal_test
jump_penalised_hmm,3.0,784,51,15.076923076923077,0.8647387395165194,0.04072037199936203,379,330,75,0.9579081632653061
baum_welch_hmm,,784,58,13.288135593220339,0.8552020781512503,0.034154248805059205,381,333,70,0.9579081632653061
