model_a,model_b,dm_stat,p_value,mean_loss_diff,better,n
MC-Dropout-Regime-LSTM-B,MC-Dropout-LSTM,-2.220297393704551,0.026684158849955186,-0.007050393974912953,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,Regime-LSTM-B,-1.250020353587525,0.21166558236437655,-0.00013096455226800725,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,HAR-RV,-1.0497096149360912,0.2941755203175917,-0.016307311858374234,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-Regime-LSTM-B,LSTM,-2.169030940796617,0.030380619574132718,-0.006836375731894843,MC-Dropout-Regime-LSTM-B,784
MC-Dropout-LSTM,LSTM,1.3159376928412578,0.18858008746912017,0.00021401824301810966,LSTM,784
