,avg_loss,mcs_pvalue,in_mcs,rank
Regime-LSTM-B,0.29045023308314516,1.0,True,1
EGARCH,0.29597405299279317,0.8485,True,2
HAR-RV,0.29973290547313103,0.8485,True,3
GARCH,0.3344244722219696,0.007,False,4
RW-RV,0.5561843947564739,0.007,False,5
