model_a,model_b,n,dm_stat_pooled,dm_p_pooled,gw_regime_stat,gw_regime_df,gw_regime_p,gw_lagdiff_stat,gw_lagdiff_df,gw_lagdiff_p,moment_calm,moment_transitional,moment_crisis,a_relative_edge_in,a_wins_in
Regime-LSTM-A,LSTM,784,-0.5607982618130852,0.5750955075229494,1.9173357572597978,3,0.5897399591582486,7.481311100111017,2,0.023738536230677496,-0.0015010727528300895,0.000258472932506826,-0.0011205643095627857,calm,"calm, crisis"
Regime-LSTM-B,LSTM,784,-2.128772211247467,0.03358465595106129,8.901466028329885,3,0.030630044893764693,4.831615683423431,2,0.0892951734107868,-0.0018133624398025301,-0.003911983457667527,-0.0009800694659531965,transitional,"calm, transitional, crisis"
Regime-LSTM-A,HAR-RV,784,-0.7719685267986462,0.4403659924094091,13.008498094630214,3,0.004618263815951832,6.2954953432652045,2,0.042948752703694165,0.00423535519808254,-0.01523149383451913,-0.0008379532984572822,transitional,"transitional, crisis"
Regime-LSTM-B,HAR-RV,784,-1.0408470451469596,0.2982678181632364,24.49463976213812,3,1.9691806121728795e-05,6.711144793330932,2,0.034889393865411775,0.0039230655111100994,-0.01940195022469347,-0.0006974584548476932,transitional,"transitional, crisis"
Regime-LSTM-A-RVonly,LSTM-RVonly,784,0.5019786403187018,0.615823669216481,6.2811215937831255,3,0.09870593855295941,1.4566221176892478,2,0.4827235937318799,0.0035756778965829288,-0.002541745310902717,0.0009804658797430545,transitional,transitional
