regime_shift,timing,regime,n,picp,mpiw,winkler,coverage_error
1,lagged t-1 (conditional / implementable),calm,381,0.8372703412073491,5.0338098012991025e-05,0.00013617273007033185,-0.06272965879265091
1,lagged t-1 (conditional / implementable),transitional,332,0.8795180722891566,0.00015829940249800323,0.00024321907063924738,-0.02048192771084345
1,lagged t-1 (conditional / implementable),crisis,71,0.9154929577464789,0.000982104237029741,0.002541007545346526,0.015492957746478853
1,lagged t-1 (conditional / implementable),all,784,0.8622448979591837,0.00018043828801198757,0.00039928836393957897,-0.037755102040816335
