model,n_seeds,qlike_mean,qlike_sd,qlike_min,qlike_max,qlike_range,qlike_published,qlike_seed17,refit_deviation
Regime-LSTM-A-RVonly,5,0.2587454156729983,0.0019478198404083295,0.25676675604863675,0.2617483454141135,0.0049815893654767684,0.2617483454141135,0.2617483454141135,0.0
LSTM-RVonly,5,0.25993694178821763,0.0015283263787681672,0.25809861913607257,0.26228485230036463,0.004186233164292064,0.2596404463150226,0.25964044631502264,5.551115123125783e-17
MC-Dropout-Regime-LSTM-B,5,0.26028029688482757,0.006192624039587001,0.25123991642193927,0.2676207264223419,0.016380810000402646,0.2619395864331803,0.2619395864331803,0.0
Regime-LSTM-B,5,0.26048650564749387,0.006173308107446865,0.25140102112952745,0.2677639386953258,0.01636291756579833,0.2621154115610506,0.26211541156105067,5.551115123125783e-17
