model,n,mse,rmse,mae,qlike
HAR-RV,784,4.1763299445373875e-08,0.0002043607091526497,6.046388729685261e-05,0.27448957220527154
GARCH,784,5.6251002233315555e-08,0.0002371729373965663,7.171748110815516e-05,0.33017142259892396
EGARCH,784,5.6656070351391576e-08,0.0002380253565303318,6.901579847947089e-05,0.3327506407930775
RW-RV,784,5.283828597571581e-08,0.0002298657999262087,6.578935497975982e-05,0.3584319726638106
