regime_shift,timing,regime,n,picp,mpiw,winkler,coverage_error
1,lagged t-1 (conditional / implementable),calm,379,0.8443271767810027,5.083344391623976e-05,0.00014030809755279347,-0.05567282321899736
1,lagged t-1 (conditional / implementable),transitional,329,0.8936170212765957,0.00016304441913664577,0.00022205303550891235,-0.00638297872340432
1,lagged t-1 (conditional / implementable),crisis,76,0.8421052631578947,0.0009159459455912866,0.002670908617818724,-0.05789473684210533
1,lagged t-1 (conditional / implementable),all,784,0.8647959183673469,0.0001817849247514657,0.00041992509261372943,-0.035204081632653095
