regime_shift,timing,regime,n,picp,mpiw,winkler,coverage_error
0,contemporaneous (ex-post description),calm,381,0.8661417322834646,4.858024664500803e-05,9.469760497418544e-05,-0.03385826771653544
0,contemporaneous (ex-post description),transitional,333,0.8678678678678678,0.00017125145936106308,0.00028273796452689973,-0.032132132132132174
0,contemporaneous (ex-post description),crisis,70,0.8428571428571429,0.000956908173356355,0.002842710561989834,-0.05714285714285716
0,contemporaneous (ex-post description),all,784,0.8647959183673469,0.00018178492611470271,0.0004199250880381513,-0.035204081632653095
