jump_penalty,train_jumps,train_mean_duration_days,clears_persistence_floor,test_switches,agreement_with_headline_test,agreement_with_headline_train,is_headline
0.5,2116,1.8842701936702881,False,465,0.45050761421319796,0.4758084733015793,False
1.0,1301,3.063748079877112,False,279,0.39593908629441626,0.4346954123840562,False
1.5,506,7.867850098619329,False,117,0.5456852791878173,0.5094008523439458,False
2.0,82,48.06024096385542,True,55,0.9543147208121827,0.9516169466031587,False
2.5,57,68.77586206896552,True,44,0.9758883248730964,0.9754324392078215,False
3.0,51,76.71153846153847,True,40,1.0,1.0,True
5.0,19,199.45,True,37,0.6687817258883249,0.6505389822010529,False
10.0,7,498.625,True,23,0.7373096446700508,0.6778641263474555,False
30.0,6,569.8571428571429,True,19,0.7753807106598984,0.7066934068688895,False
100.0,2,1329.6666666666667,True,8,0.3883248730964467,0.45650538982201055,False
300.0,0,3989.0,True,0,0.2893401015228426,0.3619954875908749,False
