regime_shift,timing,regime,n,picp,mpiw,winkler,coverage_error
1,lagged t-1 (conditional / implementable),calm,381,0.8110236220472441,4.3534245941160775e-05,0.0001427576090612269,-0.08897637795275593
1,lagged t-1 (conditional / implementable),transitional,332,0.8283132530120482,0.0001402200436110346,0.00026543720889970275,-0.07168674698795185
1,lagged t-1 (conditional / implementable),crisis,71,0.8450704225352113,0.0008755169750861889,0.002760171914877186,-0.05492957746478877
1,lagged t-1 (conditional / implementable),all,784,0.8214285714285714,0.0001598230961907719,0.0004317449086266697,-0.07857142857142863
