,n,qlike
LSTM-Gaussian,784.0,0.2650185870558635
LSTM (Phase 3),784.0,0.2650186360787922
MC-Dropout-LSTM,784.0,0.2652326543218103
Quantile-LSTM-mean,784.0,0.2742372862021575
Quantile-LSTM,784.0,0.3216466868446237
