model,n,mse,rmse,mae,qlike
LSTM,784,4.292204603696688e-08,0.00020717636457126784,5.567230519051135e-05,0.26074828177572024
HAR-RV,784,4.1763299445373875e-08,0.0002043607091526497,6.046388729685261e-05,0.2744895722052716
GARCH,784,5.6251003065953535e-08,0.00023717293915190564,7.171748128341523e-05,0.33017142553278583
EGARCH,784,5.665607030845292e-08,0.00023802535644013416,6.901579848824777e-05,0.33275064053098585
RW-RV,784,5.283828597571581e-08,0.0002298657999262087,6.578935497975982e-05,0.3584319726638106
