model_a,model_b,n,gw_regime_stat,gw_regime_df,gw_regime_p,gw_regime_stat_uncentred,gw_regime_p_uncentred,moment_calm,moment_transitional,moment_crisis,a_relative_edge_in,a_wins_in
MC-Dropout-Regime-LSTM-B,MC-Dropout-LSTM,784,9.580666841710356,3,0.0224885056422093,9.46500225842716,0.023706607138494155,-0.002080436871794857,-0.003924395079453906,-0.001045562023664189,transitional,"calm, transitional, crisis"
MC-Dropout-Regime-LSTM-B,Regime-LSTM-B,784,3.0357595542736955,3,0.38614455011618154,3.0240500023766046,0.387931982046814,-0.00014821110155925518,1.9636151959604794e-05,-2.389602668356863e-06,calm,"calm, crisis"
MC-Dropout-Regime-LSTM-B,HAR-RV,784,24.187421531548267,3,2.282747349745999e-05,23.46354072771668,3.232533050565774e-05,0.003774850729009751,-0.01938231305270177,-0.0006998495346822,transitional,"transitional, crisis"
MC-Dropout-Regime-LSTM-B,LSTM,784,9.158724504704251,3,0.02725332499072047,9.052967318958794,0.028594883619694852,-0.0019615734481914352,-0.003892345944652763,-0.0009824563390506448,transitional,"calm, transitional, crisis"
MC-Dropout-LSTM,LSTM,784,1.710049532033884,3,0.6347018706844147,1.7063277145469467,0.6355279173295116,0.00011886342360342185,3.2049134801143586e-05,6.310568461354424e-05,transitional,none
